atom1,0,0,0,26823.70456,0,0,0,0,25911.9253,0,0.000000   0.000000  0.000000  25923.569851  0.000000,,,,,0.000000   0.000000  0.000000  26026.149726  0.000000,,,,,0.000000   0.000000  0.000000  26823.704560  0.000000,,,,,0.000000   0.000000  0.000000  26095.198111  0.000000,,,,,0.000000   0.000000  0.000000  26578.469391  0.000000,,,,,0.000000   0.000000  0.000000  26058.831350  0.000000,,,,,0.000000   0.000000  0.000000  24886.425027  0.000000,,,,
atom2,0.087564,0,0,-4558.973597,-1306.746205,0.087564,0,0,-3999.727012,790.140274,0.087564   0.000000  0.000000  -2003.407530  -589.277897,,,,,0.087564   0.000000  0.000000  -3128.584879  -2686.741774,,,,,0.087564   0.000000  0.000000  -4558.973597  -1306.746205,,,,,0.087564   0.000000  0.000000  -4424.837538  -1297.373384,,,,,0.087564   0.000000  0.000000  -4522.646498  -1222.076942,,,,,0.087564   0.000000  0.000000  -4398.259973  -1315.545422,,,,,0.087564   0.000000  0.000000  -3757.597958  -1225.556742,,,,
atom3,0.175128,0,0,-2441.637864,-2001.075024,0.175128,0,0,-1755.250078,-1009.447691,0.175128   0.000000  0.000000  -3276.265112  -2174.608606,,,,,0.175128   0.000000  0.000000  -1829.805777  -749.546236,,,,,0.175128   0.000000  0.000000  -2441.637864  -2001.075024,,,,,0.175128   0.000000  0.000000  -2244.012356  -2044.108592,,,,,0.175128   0.000000  0.000000  -2411.785452  -2011.112820,,,,,0.175128   0.000000  0.000000  -2145.688884  -2098.064791,,,,,0.175128   0.000000  0.000000  -1708.252850  -1203.427960,,,,
atom4,0.262692,0,0,-1062.568747,-1561.685687,0.262692,0,0,-1048.449216,-1966.982458,0.262692   0.000000  0.000000  -1049.887158  -1267.556004,,,,,0.262692   0.000000  0.000000  -1563.717719  -1394.363333,,,,,0.262692   0.000000  0.000000  -1062.568747  -1561.685687,,,,,0.262692   0.000000  0.000000  -1056.759874  -1479.214143,,,,,0.262692   0.000000  0.000000  -1054.133916  -1562.124201,,,,,0.262692   0.000000  0.000000  -1052.663276  -1505.921029,,,,,0.262692   0.000000  0.000000  -838.998091  -1792.192922,,,,
atom5,0.350256,0,0,-159.878231,-1147.097909,0.350256,0,0,-453.541172,-1434.493654,0.350256   0.000000  0.000000  -482.214912  -1450.185677,,,,,0.350256   0.000000  0.000000  -366.157321  -1474.524775,,,,,0.350256   0.000000  0.000000  -159.878231  -1147.097909,,,,,0.350256   0.000000  0.000000  -136.549772  -1163.865429,,,,,0.350256   0.000000  0.000000  -145.646731  -1150.768360,,,,,0.350256   0.000000  0.000000  -88.108678  -1178.617858,,,,,0.350256   0.000000  0.000000  -95.454344  -1206.128026,,,,
atom6,0.43782,0,0,278.849567,-797.365397,0.43782,0,0,160.135835,-1022.675699,0.437820   0.000000  0.000000  158.766624  -1013.641242,,,,,0.437820   0.000000  0.000000  232.745303  -1028.835317,,,,,0.437820   0.000000  0.000000  278.849567  -797.365397,,,,,0.437820   0.000000  0.000000  255.360252  -773.929858,,,,,0.437820   0.000000  0.000000  280.525577  -785.872234,,,,,0.437820   0.000000  0.000000  249.903291  -776.588055,,,,,0.437820   0.000000  0.000000  289.963249  -976.303957,,,,
atom7,0.525384,0,0,443.44903,-455.156082,0.525384,0,0,472.964298,-682.478287,0.525384   0.000000  0.000000  447.410314  -725.069838,,,,,0.525384   0.000000  0.000000  457.402800  -688.821913,,,,,0.525384   0.000000  0.000000  443.449030  -455.156082,,,,,0.525384   0.000000  0.000000  431.167139  -448.768388,,,,,0.525384   0.000000  0.000000  441.943455  -447.889277,,,,,0.525384   0.000000  0.000000  433.148547  -452.971523,,,,,0.525384   0.000000  0.000000  472.002395  -581.057833,,,,
atom8,0.612948,0,0,450.314578,-196.083532,0.612948,0,0,553.22923,-391.298148,0.612948   0.000000  0.000000  548.000298  -417.446776,,,,,0.612948   0.000000  0.000000  547.946404  -404.204750,,,,,0.612948   0.000000  0.000000  450.314578  -196.083532,,,,,0.612948   0.000000  0.000000  439.926049  -197.475082,,,,,0.612948   0.000000  0.000000  447.031695  -190.894675,,,,,0.612948   0.000000  0.000000  443.432725  -201.916141,,,,,0.612948   0.000000  0.000000  516.789512  -311.024599,,,,
atom9,0.700512,0,0,368.122025,-40.780811,0.700512,0,0,525.265332,-177.817874,0.700512   0.000000  0.000000  536.842761  -201.846198,,,,,0.700512   0.000000  0.000000  531.154025  -191.422368,,,,,0.700512   0.000000  0.000000  368.122025  -40.780811,,,,,0.700512   0.000000  0.000000  363.078435  -45.466531,,,,,0.700512   0.000000  0.000000  363.751941  -37.454728,,,,,0.700512   0.000000  0.000000  368.473941  -49.562389,,,,,0.700512   0.000000  0.000000  473.857406  -129.647786,,,,
atom10,0.788075,0,0,277.481793,11.984554,0.788075,0,0,466.785108,-58.329413,0.788075   0.000000  0.000000  489.168857  -72.432562,,,,,0.788075   0.000000  0.000000  481.183788  -67.583676,,,,,0.788075   0.000000  0.000000  277.481793  11.984554,,,,,0.788075   0.000000  0.000000  277.280535  8.286306,,,,,0.788075   0.000000  0.000000  272.599142  13.596132,,,,,0.788075   0.000000  0.000000  284.346591  5.807324,,,,,0.788075   0.000000  0.000000  409.920336  -36.783626,,,,
